Row Taxon Label	Title	Start Index	End Index	GenBank Accession	Other Accession Num	Raw Date	Sample Date	Collector	Herbarium	Latitude	Lat Raw	Longitude	Long Raw	Elevation	Country	State	Locality	Notes	.
Caloplaca decipioides		1	7019			October 2006	2006-10	Thor 20768	"holotype UPS, isotypes NIBR, UPS"	38.16666667	38°10'N 	128.3666667	128°22'E	410–420 m	South Korea		"Gangwon Province, Inje-gun, Buk-myun, Yongdae-ri, Sorak-san National Park, inner part of the massif Sorak Mts, along the road in Backdam Valley, from Backdam (Paekdam) temple towards the village Yongdae-ri, where the road crosses the river ca. 1.5 km NW Backdam (Paekdam) temple"	"on almost vertical rock, shaded from running water, probably at least partly with a higher pH than true siliceous rocks, exposed to S at the river"	
Caloplaca elegantissima		1	7019			2000	1909-06-23	P. Crittenden 							Namibia	Skeleton coast			
Caloplaca eos		1	7019			24.01.2004	2004-01-24	"Kärnefelt 20044701, Filson & Kondratyuk 20475"	"CANB - holotype, PERTH, AQ, MEL, LD, KW - isotypes"	-32.78777778	32º47'16''S	152.08	152º4'48''E		Australia	New South Wales	"S of Anna Bay, Tomaree National Park"	rock (rhyolite) outcrops along the coast	
Caloplaca flavorubescens		1	7019			2000	1909-06-23	We6140	"Kasalicky T., Doering H., Rambold G. and Wedin M."										
Caloplaca stipitata		1	7019			03.06.10	2010-03-06	 E. Gaya 03.06.10-5 & F. Lutzoni	DUKE	24.0529	24º03.174'N	-110.57865	110º34.719'W	268 m	Mexico	Baja California South	"along road between La Paz and La Constitución, closer to La Paz"	"leguminose with cactuses and Yucca, sun-exposed, flat slope, on an individual shrub"	
Caloplaca gloriae		1	7019			 6.9.2007	2007-09-06	 P. & B. v.d. Boom 38420 	P.v.d. Boom Herb.	36.73083333	36º43.85'N	-2.169	2º10.14'W	75 m	Spain	Almería	"E-SE of Almería, Sierra del Cabo de Gata, SW San José, path between Casa Mónsul to Torre de Vela Blanca, small valley (N-S), NE exposed sloping outcrops"	volcanic outcrops	
Caloplaca granulosa		1	7019			18.01.2001	2001-01-18	E. Gaya 223 & X. Llimona	BCN 13702					900-1000 m	Spain	Catalonia	"Spain, Catalonia, Tarragona prov., Conca de Barberà, Vimbodí, la Pena (Serra de Prades), under l'Àliga peak, near Roca de les Abelles"	rainwater runoff on calcareous vertical walls	
Caloplaca ignea		1	7019			02.27.10	2010-02-27	E. Gaya 02.27.10-9 & F. Lutzoni	DUKE	34.00028333	34º0.017'N	-119.7516167	119º 45.097'W	46 m	USA	California	"Sta Cruz Island, along road linking the duck and the ranch along river, open oak forest"	"shady, 25º slope, very humid, on small boulder embebed in soil about 1 m above water level of creek"	
Caloplaca impolita		1	7019			02.26.10	2010-02-26	E. Gaya 02.26.10-5 & F. Lutzoni 	DUKE	34.01591667	34º00.955'N	-119.8016	119º48.096'W	330 m	USA	California	"Sta Cruz Island, along road in Cristy Canyon, Centinella grave"	"Southern exposure, 70º slope, low shrub Artemisia and shrub oak, on volcanic rock"	
Caloplaca inconnexa		1	7019						BCN 13375					600-670 m	France	Provence	"prov. De Bouches-du-Rhône, Mimet, Col d'Ange, 500 m E de Pilon-du-Roi"	"calcareous rocks, parasite on Aspicilia calcarea"	
Caloplaca inconnexa ssp. nesodes		1	7019			02.27.10	2010-02-27	E. Gaya 02.27.10-7 & F. Lutzoni	DUKE	33.99925	33º59.955'N	-119.714985	119º42.8991'W	46 m	USA	California	"Sta Cruz Island, along the road linking the duck and the ranch along river"	"oak forest, slope 45º, volcanic rock, on terrace of a sunlit block"	
Caloplaca isidiigera		1	7019			14.8.2007	2007-08-14	J. _oun 	CBFS	48.93426389	48º56'03.35''N	19.88151111	19º52'53.44''E	1560 m		Slovakia	"Low Tatras mountains, eastern part of mountains range, mount Velk_ bok, small limestone outcrops near tourist trail on south slope"	limestone outcrops	
Caloplaca luteoalba		1	7019			9.8.2006	2006-08-09	" E. Gaya, P. Navarro-Rosinés, U. Arup, U. Sochting, N. Hladun, A. Gómez-Bolea"	BCN	56.70804444	56º42'28.96''N	12.89636944	12º 53'46.93''E	32 m	Sweden	Halland	"Övraby, Sperlingsholm"	epiphyte on Ulmus glabra	
Caloplaca aff. luteoalba		1	7019			03.06.10	2010-03-06	E. Gaya 03.06.10-7B & F. Lutzoni 	DUKE	24.0529	24º03.174'N	-110.57865	110º34.719'W	268 m	Mexico	Baja California South	"along road between La Paz and La Constitución, closer to La Paz"	" leguminose with cactuses and Yucca, sun-exposed, on a legume tree about 5 m high "	
Caloplaca marina		1	7019			7.4.2005	2005-04-07	S. Stenroos 5686	H	59.98333333	59°59'N	24.41666667	24°25'E		Finland	Uusimaa	"Kirkkonummi, Porkkala, Vetokannas"	on bare seashore cliffs	
Caloplaca maritima		1	7019			11.01.2001	2001-01-11	E. Gaya 243b & X. Llimona 	BCN					 3-5 m	Spain	Catalonia	"Girona prov., Llançà, Cau del Llop, surface facing North, 10º-30º slope"		
Caloplaca sp. 110		1	7019			02.27.10	2010-02-27	 E. Gaya 02.27.10-8B & F. Lutzoni	DUKE	33.99925	33º59.955'N	-119.714985	119º42.8991'W	46 m	USA	California	"Sta Cruz Island, along the road linking the duck and the ranch, along river, on open slope facing North"	"oak forest, partly shady, slope 25º, volcanic rock, on creek, semi-aquatic"	
Caloplaca marmorata		1	7019			10.06.2002	2002-06-10	E. Gaya 416 & C. Gueidan	BCN						France	Provence	"Var, Massif de la Ste. Baume, Plan d'Aups, entre l'Hostellerie de la Ste. Baume et le Vallon de Castelette"	sun-exposed calcareous rocks	
Caloplaca microphyllina		1	7019			02.27.10	2010-02-27	E. Gaya 02.27.10-24 & F. Lutzoni	DUKE	33.99453333	33º59.672'N	-119.71045	119º42.627'W	58 m	USA	California	"Sta Cruz Island, near main ranch on the road passing to the right of the church when facing the church"	"patch of very large Quercus, on fallen dead trees"	
Caloplaca millegrana		1	7019					Ulrik Sochting								Antarctica			
Caloplaca ochracea		1	7019			19.9.2001	2001-09-19	P. Navarro-Rosinés	BCN					1560-1620 m	Spain	Catalonia	"Lleida prov., Spain, Catalonia, Fígols i Alinyà, shadow part of Tossa de Cambrils"	"Pinus sylvestris forest, calcareous rocks and boulders"	
Caloplaca paulii		1	7019			02.09.2000	2000-09-02	E. Gaya 183	BCN					2200-2400 m	Spain	Catalonia	"Girona prov., Ripollès, Queralbs, Vall de Núria, entre el Torrent de Noucreus i la Coma de les Mulleres"	"decalcified surfaces of calcareous schist, facing North-West"	
Caloplaca conversa		1	7019			03.03.10	2010-03-03	E. Gaya 03.03.10-2C & F. Lutzoni	DUKE	25.95165	25º57.099'N	-111.5164	111º30.984'W	 514 m	Mexico	Baja California South	"Loreto, Sierra Giganta, on the road from Loreto to San Javier, next to cinegetic ranch, on plateau, after las parras"	"leguminose shrubs and cactus, open-exposed site, North exposure, basaltic boulder along dry creek"	
Caloplaca pellodella		1	7019			03.03.10	2010-03-03	E. Gaya 03.03.10-2A & F. Lutzoni	DUKE	25.95165	25º57.099'N	-111.5164	111º30.984'W	514 m	Mexico	Baja California South	"Loreto, Sierra Giganta, on the road from Loreto to San Javier, next to cinegetic ranch, on plateau, after las parras"	"leguminose shrubs and cactus, open-exposed site, North exposure, basaltic boulder along dry creek"	
Caloplaca polycarpa		1	7019			11.06.2002	2002-06-11	"E. Gaya 399, C. Roux & P. Navarro-Rosinés"	BCN					500 m	France	Provence	"near Apt, between Rocsalière and Les Claperèdes"	"upper part of calcareous wall, flat sun-exposed surface, facing East"	
Caloplaca proteus		1	7019			18.01.2001	2001-01-18	E. Gaya 215 & X. Llimona	BCN 13706					700-900 m	Spain	Catalonia	"Tarragona prov., Conca de Barberà, Vimbodí, la Pena (Serra de Prades)"	"walls and small caves of carbonated rocks, NE exposure"	
Caloplaca santessoniana		1	7019			19.2.11	2011-02-19	 E. Gaya 19.2.11- 37 & R. Vargas 	DUKE	-25.98491667	25º59'05.7''S	-70.61422222	70º36'51.2''W	720 m	Chile		"Parque Nacional Pan de Azúcar, coastal hill crust"		
Caloplaca scopularis		1	7019			24.06.1994	1994-06-24	"B.J. Coppins 16458, A.M. O’Dare & A.M. Fryday "	E 126410						Scotland		"West Ross (VC 105), Torridon, Rubha na h-Airde Glaise, and coast to north, locally abundant on rocky hevalland, grid 18/80.56"		
Caloplaca scoriophila		1	7019			6.9.2007	2007-09-06	P. & B. v.d. Boom 38386 	P.v.d. Boom Herb.	36.73033333	36º43.82'N	-2.174333333	2º10.46'W	150 m	Spain	Almería	"E-SE of Almería, Sierra del Cabo de Gata, path W of Torre de Vela Blanca to lighthouse, small hill, NE exposed sloping outcrops"		
Caloplaca scotoplaca		1	7019			11.8.2006	2006-08-11	"E. Gaya, P. Navarro-Rosinés, U. Arup, U. Sochting, N. Hladun, A. Gómez-Bolea"	BCN	58.36621111	58º21'58.36''N	1.283663889	1º17'01.19''E	22 m	Sweden	Bohuslän	"Askums par., Vägga, Lökås, near Kugshamn"		
Caloplaca sp. 148		1	7019			03.04.10	2010-03-04	 E. Gaya 03.04.10-12 & F. Lutzoni	DUKE	25.03895	25º02.337'N	-111.7635667	111º45.814'W	41 m	Mexico		"along road, between Ciudad Constitution and Puerto San Carlos"	"shrubs with legumes, cactuses, and Fulqueria, sun exposed site, flat, humid, on alive part of Fulqueria"	
Caloplaca altoandina		1	7019			1.12.2007	2007-12-01	W. Morris	DUKE						Argentina		Villaciencio		
Caloplaca stillicidiorum		1	7019											1500 m	France	Rhônes-Alpes	"Haute-Savoic Platcau des Glières - la Commanderie, palaise au NE de la Mîson de paps "	"90ºS, calcareous"	
Caloplaca atroflava		1	7019			02.27.10	2010-02-27	 E. Gaya 02.27.10-8a & F. Lutzoni 	DUKE	34.00028333	34º0.017'N	-119.7516167	119º45.097'W	46 m	USA	California	"Sta Cruz Island, along road linking the duck and the ranch along river, open oak forest"	"shady, 25º slope, very humid, rock immediately bordering a small creek, semi-aquatic"	
Caloplaca teicholyta		1	7019			01.09.2000	2000-09-01	E. Gaya 203 & P. Navarro-Rosinés	BCN 13695	41.81805556	41º49'05''N	1.418055556	1º25'05''E	550-650 m	Spain	Catalonia	"Lleida prov., Segarra, Torà, above Font de Can Porta, road to Solsona"	sun-exposed blocks of calcareous sandstone	
Caloplaca thallincola		1	7019			9.8.2006	2006-08-09	"E. Gaya, P. Navarro-Rosinés, U. Arup, U. Sochting, N. Hladun, A. Gómez-Bolea"	BCN	57.29848056	57º17'54.53''N	12.12491111	12º 07'29.68''E	0-2 m	Sweden	Halland	"Varberg, Vendelsö island"	on siliceous rocks	
Caloplaca trachyphylla		1	7019			20.07.1991	1991-07-20	J. Poelt s.n. 	GZU					±1900 m	Pakistan		NorthWestern Himalaya	"rocky slopes in the gorge W, above Jutial (near Gilgit)"	
Caloplaca thracopontica		1	7019			21.4.2007	2007-04-21	J. _oun 	CBFS	42.032725	42º01'57.81''N	35.19289444	35º11'34.42''E	130 m	Turkey		"Black Sea Coast, Sinop, coastal rocks on NE coast of peninsula"	on volcanic rocks	
Caloplaca variabilis		1	7019			3/8/07	2007-03-08	Ulf Arup L07196	LD	45.61258333	45º36.755'N	11.09841667	11º05.905'E	1230 m	Italy	Veneto	"Verona prov., N-NE of Verona, Monte Purga at Velo Veronese, S-facing grazed slope above the village"	On limestone rocks	
Caloplaca velana		1	7019			3/9/07	2007-03-09	Ulf Arup L07123	LD	45.53651667	45º32.191'N	10.84246667	10º50.548'E	380 m	Italy	Veneto	"Verona prov., San Giogio NE of Ambrogio di Valpolicella, SE-facing slope NE of Biotto"	On limestone rocks in SE-facing slope with scattered bushes	
Caloplaca verruculifera		1	7019			10.6.2006	2006-06-10	F. Lutzoni & C. Gueidan 06.10.07-7	DUKE	65.726	65.726ºN	-18.143	18.143ºW	1 m	Iceland		"INo. Eyjafjardarsysla, Silastadatangi"	marine habitat	
Caloplaca xantholyta		1	7019			7.5.2004	2004-05-07	T. Spribille 12970 	B	35.23333333	35º14'N	24.15833333	24º09.5'E	400-700 m	Greece	Crete	Imbros Gorge	on calcareous rock walls	
Fulgensia bracteata		1	7019			15.6.2004	2004-06-15	P. Alanko 121555	H						Estonia		"Saaremaa, Sörve, Kaugatuma alvar"	"on dry places along road, on soil"	
Fulgensia canariensis		1	7019			07.2001	2001-07	P.L. Pérez de Paz & C. Hernández-Padrón s.n.	"TFC Lich: 3593, duplic."					2200 m	Spain	Canary Islands	"La Palma, summits of Caldera de Taburiente (Parque Nacional)"		
Fulgensia fulgens		1	7019			12.8.2006	2006-08-12	"E. Gaya, P. Navarro-Rosinés, U. Arup, U. Sochting, N. Hladun, A. Gómez-Bolea"	BCN	56.49273333	56º29'33.84''N	16.51165556	16º30'41.96'’E	33 m	Sweden	Öland	"Hulterstad par., 1.5 km WNW of Gösslunda, N from the road"	calcareous soils and rocks (Ordovician)	
Fulgensia klementii		1	7019			28.07.2011	2011-07-28	M. Kocakaya and M. G. Halici		36.91111111	N36º51'220'' 	32.60138889	E32º21'905''	1560 m	Turkey	Konya province	"Geune Valley, Beyreli village"	on calcareous rocks	
Fulgensia poeltii		1	7019			27.04.2002	2002-04-27	E. Gaya 400 	BCN						Spain	Catalonia	"Lleida prov., between Ponts i Torà, after the crossroad de Guissona, Mas d'en Bruc, entre Cal Perxa i Casanova de la Garriga"	"gypsum-rich walls, South exposure"	
Huea cerussata		1	7019					Ulrik Sochting.							South America				
Ioplaca pindarensis		1	7019					A. Aptroot 56827	ABL					3150-3500 m 	China	Yunnan prov.	"Dali co., Mt. Cangshan"	"sclerophyll shrub on steep mountains slopes, on shale"	
Sipmaniella sulphureofusca		1	7019			2.7.2004	2004-07-02	H. Sipman 53087	B	-3.966666667	3º58'S	-79.06666667	79º04'W	1945 m	Ecuador	Zamora-Chinchipe	"Nature Reserve of Estación Científica San Francisco, S of road Loja-Zamora, ca. 40 km from Loja"	"primary montane forest on steep slope, Prunus huantensis, on canopy"	
Letrouitia domingensis		1	7019			4.2.2008	2008-02-04	 P. & B. v.d. Boom 39385	P.v.d. Boom Herb.	19.3405	19º20.43'N	-70.14666667	70º08.80'W	400 m	Dominican Republic	Duarte prov.	"NE of San Francisco de Macoris, Reserva Científica, SSE slope of Loma Quita Espuela, starting point at ‘Rancho Don Lulu’, trail in cocoa plantation with mature trees"	on coffee shrub	
Letrouitia parabola		1	7019			14.4.2007	2007-04-14	E. Gaya 11	DUKE							Alabama	"Escambia Co., Andalusia Area, Solon-Dixon Forestry Center, montane rainforest"	 on Fagus americana	
Letrouitia vulpina		1	7019			31.5.2008	2008-05-31	"P. & B. v.d. Boom 40279, D. & M. Brand & E. Sérusiaux"	P.v.d. Boom Herb.	-21.12166667	21º07.3'S	55.48666667	55º29.2'E	1420 m	Mascarene Islands	La Réunion	"Cirque de Cilaos, N of Cilaos, Forêt du Grand Matarum, trail GR R1, to Caverne Dufour, tropical rainforest, first part, from parking lot along road to Bras sec, up to 200 m in the forest"	on strong sloping trunk	
Megaloblastenia marginiflexa		1	7019			27.5.2008	2008-05-27	"P. & B. v.d. Boom 39805, D. & M. Brand & E. Sérusiaux "	P.v.d. Boom Herb.	-21.05833333	21º03.50'S	55.54166667	55º32.50'E	1520 m	Mascarene Islands	La Réunion	"NW of Plaine-des-Palmistes, N side of Forêt de Bébour, Forêt de Bélouve (W), near Gite de Bélouve"	"area with mature Acacia heterophylla trees in mixed forest along road and path, on small tree"	
Megalospora coccodes		1	7019			31.5.2008	2008-05-31	"P. & B. v.d. Boom 40221, D. & M. Brand & E. Sérusiaux"	P.v.d. Boom Herb.	-21.12166667	21º07.3'S	55.48666667	55º29.2'E 	1420 m	Mascarene Islands	La Réunion	"Cirque de Cilaos, N of Cilaos, Forêt du Grand Matarum, trail GR R1, to Caverne Dufour, tropical rainforest, first part, from parking lot along road to Bras sec, up to 200 m in the forest"	"on unidentified tree, 8 cm diam"	
Megalospora sulphurata		1	7019			1.6.2008	2008-06-01	"P. v.d. Boom 40349, M. Brand & E. Sérusiaux"	P.v.d. Boom Herb.					1340 m	Mascarene Islands	La Réunion	"NW of Plaine-des-Palmistes, Forêt de Bébour, trail in tropical rainforest, from main road, just N of Col de Bébour, to Cassé de Takamaka"	on Dombeya	
Megalospora tuberculosa		1	7019			28.6.2002	2002-06-28	H. Sipman 47933	DUKE	8.916666667	 8º55'N	-82.8	82º 48'W	1600 m	Costa Rica	Puntarenas	"Zona Protectora Las Tablas (AC Amistad Pacifico), Los Portones, 25 km ENE of San Vito, 5 km on gravel road from Progreso to Las Tablas, road side"		
Seirophora californica		1	7019			03.04.10	2010-03-04	Gaya 03.04.10-9 & F. Lutzoni 	DUKE	25.03895	N25º02.337'	-111.7635667	W111º45.814'	41 m	Mexico	Baja California South	"along road, between Ciudad Constitution and Puerto San Carlos"	"shrubs, with legumes, cactuses, and Fulqueria, sun exposed site, flat, humid, on Fulqueria"	
Seirophora contortuplicata		1	7019			14.09.2010	2010-09-14	U. Sochting						4000 m	Tajikistan				
Seirophora lacunosa		1	7019			28.3.2002	2002-03-28	A. Pérez s.n.	"BCN, herb. Gaya 391"					500 m	Spain	Alacant	"Les Salines d’Elda, at margins of seasonal lagoon"	on soil	
Teloschistes chrysophthalmus		1	7019			 18.1.2001	2001-01-18	E. Gaya 200b & X. Llimona	BCN 13687					550-650 m	Spain	Catalonia	"Tarragona prov., Conca de Barberà, Vimbodí, Barranc de Castellfollit"	 on Quercus ilex ssp. ballota	
Teloschistes exilis		1	7019			26.05.07	2007-05-26	 D. Hillis 07-726 	DUKE	30.87444444	30º52'28''N	-99.04805556	 99º02'53''W	411 m	USA	Texas	"Mason co., Double Helix Ranch"	on bark	
Teloschistes flavicans		1	7019					"E. Gaya 02.26.10-8, F. Lutzoni "	DUKE	34.01271667	34º00.763'N	-119.7914167	119º47.485'W	422 m	USA	California	"Sta Cruz Island, South Rigde road"	"Southern exposure, 45º slope, shrub oak vegetation, sun-exposed, on Quercus pacifica, young, on small branches, the oak was about 3' tall"	
Teloschistes hosseusianus		1	7019			 1.12.2007	2007-12-01	W.F. Morris 	DUKE						Argentina	Villaciencio			
Teloschistes nodulifer		1	7019			07.05.10	2010-07-05	"E. Gaya 07.05.10-7, D. Ramos "	DUKE	-11.42008333	S11º25'12.3''	-75.6775	W75º40'39''	3138 m	Peru	Tarma	"Capia, above Tarma village"	"open-exposed site, 50-60º slope, dry desert, soil in small hills mixed with basaltic"	
Teloschistes sieberianus		1	7019			12.08.1991	1991-08-12	H.T. Lumbsch & H. Streimann s.n.	"DUKE, A. Vezda: Lichenes rariores exsiccati 30"					400 m	Australia	New South Wales	"secus viam ad “Coreys Cave” ducentem, 2 km ad septentriones et orientem a Wee Jasper (35º06' austr., 148º40' orient.)"	In ramulis silva (Eucalyptus)	
Xanthomendoza borealis		1	7019			2006	1909-06-29	P. Crittenden 	DUKE	-72.3167	S 72.3167°	170.2667	E 170.2667°		East Antarctica		"Hallett Peninsula, Cape Hallett, Ross Sea coast of Victoria Land"		
Xanthomendoza fallax		1	7019			19.6.2007	2007-06-19	"E. Gaya, J. Geml, J. Gomà "	DUKE						Alaska				
Xanthomendoza oregana		1	7019			03.01.10	2010-03-01	 E. Gaya 03.01.10-18C & F. Lutzoni 	DUKE	34.09755	34º05.853'N	-118.8161333	118º48.968'W	516 m	USA	California	"Santa Monica mountains, Rocky Oaks National Park service property, along the trail starting at the parking lot, at the 'brown house' just outside the fence around the house"	"open grassy area, sun-exposed site, dry, flat slope, on Juglans californica tree#4"	
